"age","income","balance","id","fee_1","rate_1","rewards_1","fee_2","rate_2","rewards_2","fee_3","rate_3","rewards_3","fee_4","rate_4","rewards_4","fee_5","rate_5","rewards_5","error1","error2","error3","error4","error5","utility1","utility2","utility3","utility4","utility5","choice"
57,22753.6287594657,778.140593506517,1,75,0.05,1,100,0.25,1,25,0.05,0,0,0.15,1,0,0,0,0.0576066918453882,-0.645806274851275,-1.06297631548567,-0.716869359833559,-0.495408774833103,-6.97680886260879,-13.0552218293055,-8.84739186993985,-9.12628491428774,-0.495408774833103,5
47,57233.3101553932,1123.69821310563,2,75,0.2,1,100,0.2,1,100,0.1,0,75,0.15,0,0,0,0,-0.269266846043201,-0.611384044614025,-0.0276225420521684,1.65671025592698,0.391300251146889,23.254046786041,22.5369295874702,24.120691090032,24.9300238880112,0.391300251146889,4
37,55219.4281503192,667.76254884649,3,75,0.1,1,100,0.25,0,0,0.15,1,75,0.1,1,0,0,0,1.77351247294085,0.313399786364625,0.338556573600359,0.760787183189015,2.61007673000166,31.0850264007122,23.9999137141359,29.5250705013717,30.0723011109603,2.61007673000166,1
34,37428.3931300765,923.621038445468,4,25,0.2,0,0,0.05,0,0,0.15,0,100,0.15,1,0,0,0,0.773417872571931,1.5750276564938,0.804074953007967,0.0919872704073399,0.611423225787489,13.2125520331369,18.1391618170588,14.868209113573,14.1561214309723,0.611423225787489,2
38,13822.0753400808,1121.44726777253,5,25,0.2,1,75,0.2,1,100,0.05,1,25,0.25,1,0,0,0,0.0929517687656772,-0.248392938653254,0.909242127712102,1.80405838492945,-1.19117962985098,-8.03328419216565,-9.12462889958458,-4.59199383321922,-7.57217757600188,-1.19117962985098,5
31,49009.1567011224,835.49412713115,6,25,0.25,0,25,0.25,1,0,0.2,0,100,0.25,0,0,0,0,1.88795953587471,0.447245069146605,-0.0246663728957602,0.556098787933986,1.19297474208382,24.4207427318287,24.4800282651006,24.1331168230583,21.963881983888,1.19297474208382,2
49,58995.0235840466,798.649588229067,7,25,0.15,1,0,0.2,1,100,0.2,0,100,0.1,1,0,0,0,0.100275022238062,-1.3990038111516,-0.00469713505593737,0.102815796954386,-1.02051715541449,26.1210450686777,23.746766235288,22.1410729113837,26.248585843394,-1.02051715541449,4
68,39933.434514937,918.711038880227,8,100,0.05,0,25,0.1,1,75,0.2,1,75,0.05,0,0,0,0,-0.16126766152876,0.453582197732587,2.49009891359304,1.93640892831355,0.179386903378824,0.0321516761676517,2.022001535429,0.808518251289456,2.50482826600996,0.179386903378824,4
64,52179.4438835823,878.001594319313,9,75,0.1,1,25,0.05,1,0,0.25,1,75,0.25,0,0,0,0,1.39923638567226,-0.121435903824812,1.16309996439048,3.46994866068573,-0.10104830502818,14.6267636867172,15.1060913972201,11.7656272654354,11.4474759617307,-0.10104830502818,2
34,71024.0067895059,788.817580105962,10,100,0.15,0,25,0.15,1,100,0.15,0,25,0.1,0,0,0,0,-0.557462118723481,0.280386950663658,0.12927891104505,1.19727566592511,3.64756454166025,40.5629436523566,44.0257927217437,41.2496846821251,44.6926814370052,3.64756454166025,4
30,36363.4149027622,1014.94298301697,11,0,0.1,0,25,0.2,0,100,0.05,0,25,0.1,0,0,0,0,-0.361586532252032,1.48792356839674,0.535925425800247,4.94645410429895,0.293828605381352,16.0473161350958,15.0218262357446,16.6948280931481,20.9803567716468,0.293828605381352,4
21,62616.3262693979,1102.80061520227,12,25,0.15,1,0,0.25,0,75,0.25,1,100,0.1,1,0,0,0,-0.0182386222444103,1.31514254573824,-0.13763991548663,-0.671516090017503,-0.0735134216707506,43.0806387067438,40.7890198747264,39.7112374135016,42.5523612389707,-0.0735134216707506,1
41,45938.7112660453,951.651444674099,13,25,0.05,1,100,0.05,0,75,0.15,1,0,0.2,1,0,0,0,-0.311539888584463,1.52866756301944,0.149082069900529,-1.10305907250718,2.13176852698892,21.111364687554,20.3265721391579,18.321986646039,16.9448455036313,2.13176852698892,1
34,33163.0734277458,1223.71838076206,14,0,0.05,1,75,0.1,1,100,0.25,0,0,0.25,1,0,0,0,-1.02363980717462,-0.817879983238415,-0.318632812785618,0.00407427131386405,2.05702618324749,13.4149726064093,11.2457324303455,6.11997960079828,9.44268668489777,2.05702618324749,1
53,62397.8943653924,900.357438303179,15,100,0.15,1,75,0.1,1,25,0.05,0,100,0.2,0,0,0,0,-0.159152381562821,2.78837278965049,1.74644917078344,0.214700194743399,-0.927141020574173,25.6290578290208,30.2015830002341,29.659659381367,23.252910405327,-0.927141020574173,2
55,96179.1162870436,469.678152863814,16,0,0.2,0,75,0.05,0,75,0.25,1,25,0.05,1,0,0,0,3.77665921348204,0.0967858533766627,0.837592647319193,-0.0278853824698195,1.05828904041191,56.0289080574691,54.9740346973637,52.2148414913063,57.0993634615172,1.05828904041191,4
64,60663.4897451537,668.075618705346,17,100,0.05,0,25,0.15,1,0,0.25,0,25,0.25,1,0,0,0,-0.357987575110144,4.36237210400713,-0.624701469911703,-0.732946593337786,-0.0283844903495024,19.4559787082705,24.3013383873878,15.6892648134689,16.7060196900428,-0.0283844903495024,2
62,32311.4520167293,535.655147449258,18,100,0.1,0,75,0.25,1,75,0.1,0,100,0.1,0,0,0,0,-1.06181167419593,0.710623022230146,0.576349049313878,2.77288438920988,-0.392562478849684,-5.59707745997604,-5.69964276354996,-3.58391673646623,-1.76238139657022,-0.392562478849684,5
62,57059.0227023563,699.686485565139,19,25,0.05,1,75,0.1,0,25,0.2,0,100,0.1,1,0,0,0,0.622218872345242,-0.114460156987675,0.578556451715571,1.19713847591664,0.597784515671315,20.9973881693481,16.7607091400152,15.7037257487185,19.1973077729195,0.597784515671315,1
27,53064.11002098,1401.50863370192,20,75,0.15,0,100,0.15,1,100,0.15,1,75,0.1,0,0,0,0,-1.02050822055526,-1.30391553588433,1.26716686176477,0.801344639665319,0.259509385084588,28.7089852972777,29.5505779819486,32.1216603795977,31.7808381574983,0.259509385084588,3
19,62670.0968717343,360.404486794387,21,0,0.1,0,100,0.15,0,0,0.05,1,0,0.25,1,0,0,0,0.344479217741283,-1.3341955283364,0.218198279963287,-0.22414877367302,-0.0129150146778383,44.6140615587155,40.1853868126378,47.2377806209375,41.7954335673012,-0.0129150146778383,3
